날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2014-05-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.850000
2014-05-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.760000
2014-05-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.390000
2014-05-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.180000
2014-05-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.160000
2014-05-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.080000
2014-05-29,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.510000
2014-05-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.930000
2014-06-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.450000
2014-06-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.840000
2014-06-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.390000
2014-06-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.460000
2014-06-06,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,9623.000000
2014-06-09,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.540000
2014-06-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.280000
2014-06-11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.490000
2014-06-12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.860000
2014-06-13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.770000
2014-06-16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.580000
2014-06-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.600000
2014-06-18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.040000
2014-06-19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.620000
2014-06-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,107.260000
2014-06-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.010000
2014-06-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,105.940000
2014-06-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,106.770000
2014-06-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,105.620000
2014-06-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,105.740000
2014-06-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,105.510000
2014-07-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,105.200000
2014-07-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.240000
2014-07-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.090000
2014-07-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.770000
2014-07-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.390000
2014-07-08,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.480000
2014-07-09,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.940000
2014-07-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.900000
2014-07-11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.490000
2014-07-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.050000
2014-07-15,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,100.170000
2014-07-16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.520000
2014-07-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.750000
2014-07-18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.880000
2014-07-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.580000
2014-07-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,104.420000
2014-07-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,103.290000
2014-07-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,102.000000
